scheme_id,half_term,unit_id,unit_title,type,file
y12fm,1,test-initial,"Settling-in (same as Maths, higher threshold)",assess,assessments/a-level-settling-in-exam-actual.docx
y12fm,1,1core1,"Complex numbers (intro, argand, loci)",learn,edexcel-schemes/fm/1core1.pdf
y12fm,1,1core2,Matrices,learn,edexcel-schemes/fm/1core2.pdf
y12fm,1,test-ht1,HT1 test - ready for 0123 entry,assess,assessments/fm2017-ht1.docx
y12fm,2,1core3,"Complex numbers (conjugate, division, polynomials)",learn,edexcel-schemes/fm/1core3.pdf
y12fm,2,1core4,Series,learn,edexcel-schemes/fm/1core4.pdf
y12fm,2,1core5,Algebra and functions,learn,edexcel-schemes/fm/1core5.pdf
y12fm,2,test-ht2,"HT2 test (wc27/11), ready for Y12 SCE!",assess,assessments/fm2017-ht2.docx
y12fm,2,1core6,Proof by induction,learn,edexcel-schemes/fm/1core6.pdf
y12fm,2,1core7,Vectors (lines and planes),learn,edexcel-schemes/fm/1core7.pdf
y12fm,3,test-jan-mock,Mock exam - trimmed AS paper,assess,
y12fm,3,1core8,Calculus (volumes of revolution),learn,edexcel-schemes/fm/1core8.pdf
y12fm,3,1mech1,Momentum and impulse 1,learn,edexcel-schemes/fm/1mech1.pdf
y12fm,3,1mech2,"Work, energy and power",learn,edexcel-schemes/fm/1mech2.pdf
y12fm,3,1dec1,Algorithms and graph theory 1,learn,edexcel-schemes/fm/1dec1.pdf
y12fm,3,test-ht3,HT3 test,assess,
y12fm,4,1mech3,Elastic collisions,learn,edexcel-schemes/fm/1mech3.pdf
y12fm,4,1dec2,"Algorithms on graphs (MST, Dijkstra)",learn,edexcel-schemes/fm/1dec2.pdf
y12fm,4,1dec3,Algorithms on graphs (Route inspection),learn,edexcel-schemes/fm/1dec3.pdf
y12fm,4,1dec4,Linear programming 1,learn,edexcel-schemes/fm/1dec4.pdf
y12fm,4,1dec5,Critical path analysis 1,learn,edexcel-schemes/fm/1dec5.pdf
y12fm,5,test-as,Full AS Paper to determine exam entry,assess,
y12fm,6,2dec6,Planarity of graphs,learn,edexcel-schemes/fm/2dec6.pdf
y12fm,6,2core1,"DeMoivre's Theorem, nth complex roots",learn,edexcel-schemes/fm/2core1.pdf
y13fm,1,2core1,"DeMoivre's Theorem, nth complex roots",learn,edexcel-schemes/fm/2core1.pdf
y13fm,1,2dec10,Critical path 2: resource histograms and scheduling,learn,edexcel-schemes/fm/2dec10.pdf
y13fm,1,2mech4,Momentum and impulse in 2D,learn,edexcel-schemes/fm/2mech4.pdf
y13fm,1,test-y13ht1,"HT1 test, ready for 0123 in Oct",assess,
y13fm,2,2core2,Hyporbolic functions,learn,edexcel-schemes/fm/2core2.pdf
y13fm,2,2core3,Polar co-ordinates,learn,edexcel-schemes/fm/2core3.pdf
y13fm,2,2mech6,Collisions in 2D,learn,edexcel-schemes/fm/2mech6.pdf
y13fm,2,2dec7,Floyd's algorithm,learn,edexcel-schemes/fm/2dec7.pdf
y13fm,2,test-y13ht2,"HT2 test, late Nov",assess,
y13fm,3,test-y13-mock,January Mock,assess,
y13fm,3,2core4,"Series: method of differences, Maclaurin",learn,edexcel-schemes/fm/2core4.pdf
y13fm,3,2dec8,Travelling salesman,learn,edexcel-schemes/fm/2dec8.pdf
y13fm,3,2mech5,Elasticity,learn,edexcel-schemes/fm/2mech5.pdf
y13fm,4,2core5,Further calculus,learn,edexcel-schemes/fm/2core5.pdf
y13fm,4,2core6,Differential equations,learn,edexcel-schemes/fm/2core6.pdf
y13fm,4,2dec9,"Linear programing, simplex",learn,edexcel-schemes/fm/2dec9.pdf
y13fm,5,test-apr-mock,Full paper mock,assess,
y13fm,5,2corerev,Mop-up and revise for Core Papers,learn,
y13fm,5,2mecdecrev,Mop-up and revise for Mechanics & Decision,learn,
